Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
71,9.82,+1.0,Akani SIMBINE,21 SEP 1993,RSA,4,"Stade de France, Paris (FRA)",04 AUG 2024,1269
88,9.83,-0.3,Asafa POWELL,23 NOV 1982,JAM,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 SEP 2007,1267
88,9.83,-0.5,Usain BOLT,21 AUG 1986,JAM,1f1,"Letzigrund, Zürich (SUI)",29 AUG 2008,1269
88,9.83,-1.3,Asafa POWELL,23 NOV 1982,JAM,2,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1273
88,9.83,-0.5,Asafa POWELL,23 NOV 1982,JAM,1,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010,1269
88,9.83,+0.7,Justin GATLIN,10 FEB 1982,USA,1f2,"Stadio Guidobaldi, Rieti (ITA)",07 SEP 2014,1266
88,9.83,+1.7,Justin GATLIN,10 FEB 1982,USA,1sf1,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1266
88,9.83,+0.9,Bingtian SU,29 AUG 1989,CHN,1sf3,"National Stadium, Tokyo (JPN)",01 AUG 2021,1266
88,9.83,+0.9,Ronnie BAKER,15 OCT 1993,USA,2sf3,"National Stadium, Tokyo (JPN)",01 AUG 2021,1266
88,9.83,+1.5,Fred KERLEY,07 MAY 1995,USA,1h2,"Hayward Field, Eugene, OR (USA)",23 JUN 2022,1266
88,9.83,+1.3,Zharnel HUGHES,13 JUL 1995,GBR,1,"Icahn Stadium, New York, NY (USA)",24 JUN 2023,1266
88,9.83,0.0,Noah LYLES,18 JUL 1997,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1266
88,9.83,+0.4,Christian COLEMAN,06 MAR 1996,USA,1,"Egret Stadium, Xiamen (CHN)",02 SEP 2023,1266
88,9.83,+0.1,Christian COLEMAN,06 MAR 1996,USA,1,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1266
88,9.83,+0.4,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1266
88,9.83,+0.4,Oblique SEVILLE,16 MAR 2001,JAM,1sf2,"National Stadium, Kingston (JAM)",28 JUN 2024,1266
88,9.83,+0.7,Noah LYLES,18 JUL 1997,USA,2sf1,"Stade de France, Paris (FRA)",04 AUG 2024,1266
104,9.84,+0.7,Donovan BAILEY,16 DEC 1967,CAN,1,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1262
104,9.84,+0.2,Bruny SURIN,12 JUL 1967,CAN,2,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1262
104,9.84,+1.8,Asafa POWELL,23 NOV 1982,JAM,1,Kingston (JAM),07 MAY 2005,1262
104,9.84,+1.0,Tyson GAY,09 AUG 1982,USA,2f1,Zürich (SUI),18 AUG 2006,1262
104,9.84,-0.5,Tyson GAY,09 AUG 1982,USA,1,"Indianapolis, IN (USA)",22 JUN 2007,1265
104,9.84,-0.3,Asafa POWELL,23 NOV 1982,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1263
104,9.84,+0.9,Asafa POWELL,23 NOV 1982,JAM,3,"Olympiastadion, Berlin (GER)",16 AUG 2009,1262
104,9.84,-0.3,Usain BOLT,21 AUG 1986,JAM,1,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,1263
104,9.84,0.0,Tyson GAY,09 AUG 1982,USA,1,"Olympiastadion, Stockholm (SWE)",06 AUG 2010,1262
104,9.84,+0.5,Yohan BLAKE,26 DEC 1989,JAM,1,George Town (CAY),09 MAY 2012,1262
104,9.84,+1.8,Asafa POWELL,23 NOV 1982,JAM,1f1,"National Stadium, Kingston (JAM)",09 MAY 2015,1262
104,9.84,+1.3,Trayvon BROMELL,10 JUL 1995,USA,1h4,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1262
104,9.84,+0.9,Asafa POWELL,23 NOV 1982,JAM,1,Kingston (JAM),26 JUN 2015,1262
104,9.84,+1.6,Trayvon BROMELL,10 JUL 1995,USA,2,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1262
104,9.84,+1.2,Akani SIMBINE,21 SEP 1993,RSA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1262
104,9.84,+0.1,Fred KERLEY,07 MAY 1995,USA,2,"National Stadium, Tokyo (JPN)",01 AUG 2021,1262
104,9.84,+0.9,Lamont Marcell JACOBS,26 SEP 1994,ITA,3sf3,"National Stadium, Tokyo (JPN)",01 AUG 2021,1262
104,9.84,-0.5,Ferdinand OMANYALA,02 JAN 1996,KEN,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13 MAY 2023,1265
104,9.84,+0.6,Kishane THOMPSON,17 JUL 2001,JAM,1sf1,"National Stadium, Kingston (JAM)",28 JUN 2024,1262
104,9.84,+0.5,Fred KERLEY,07 MAY 1995,USA,2sf3,"Stade de France, Paris (FRA)",04 AUG 2024,1262
124,9.85,+1.2,Leroy BURRELL,21 FEB 1967,USA,1f3,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1259
124,9.85,+0.8,Maurice GREENE,23 JUL 1974,USA,1,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1259
124,9.85,+0.6,Justin GATLIN,10 FEB 1982,USA,1,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1259
124,9.85,+0.6,Asafa POWELL,23 NOV 1982,JAM,1,Ostrava (CZE),09 JUN 2005,1259
124,9.85,+1.7,Olusoji Adetokunbo FASUBA,09 JUL 1984,NGR,1,Doha (QAT),12 MAY 2006,1259
124,9.85,+0.1,Asafa POWELL,23 NOV 1982,JAM,1f1,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2006,1259
124,9.85,+0.5,Asafa POWELL,23 NOV 1982,JAM,1f1,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1259
124,9.85,-0.5,Tyson GAY,09 AUG 1982,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1262
124,9.85,+1.7,Tyson GAY,09 AUG 1982,USA,2f1,"Icahn Stadium, New York, NY (USA)",31 MAY 2008,1259
124,9.85,-0.1,Usain BOLT,21 AUG 1986,JAM,1,Kingston (JAM),28 JUN 2008,1259
124,9.85,-0.1,Usain BOLT,21 AUG 1986,JAM,1sf1,"National Stadium, Beijing (CHN)",16 AUG 2008,1259
124,9.85,+2.0,Asafa POWELL,23 NOV 1982,JAM,2,Shanghai (CHN),20 SEP 2009,1259
124,9.85,+0.1,Nesta CARTER,11 OCT 1985,JAM,2,"Boudewijnstadion, Bruxelles (BEL)",27 AUG 2010,1259
124,9.85,+1.3,Michael RODGERS,24 APR 1985,USA,2,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1259
124,9.85,+1.0,Richard THOMPSON,07 JUN 1985,TTO,1,Port-of-Spain (TTO),13 AUG 2011,1259
124,9.85,+0.1,Usain BOLT,21 AUG 1986,JAM,1,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2011,1259
124,9.85,+0.6,Asafa POWELL,23 NOV 1982,JAM,2,"Bislett Stadion, Oslo (NOR)",07 JUN 2012,1259
124,9.85,+1.6,Yohan BLAKE,26 DEC 1989,JAM,1f1,Luzern (SUI),17 JUL 2012,1259
124,9.85,+1.7,Yohan BLAKE,26 DEC 1989,JAM,1sf3,"Olympic Stadium, London (GBR)",05 AUG 2012,1259
124,9.85,+0.2,Usain BOLT,21 AUG 1986,JAM,1f1,"Olympic Stadium, London (GBR)",26 JUL 2013,1259
124,9.85,-0.3,Justin GATLIN,10 FEB 1982,USA,2,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1260
124,9.85,+0.9,Christian COLEMAN,06 MAR 1996,USA,1,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1259
124,9.85,+1.5,Marvin BRACY,15 DEC 1993,USA,2f2,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1259
124,9.85,+0.8,Ronnie BAKER,15 OCT 1993,USA,2,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1259
124,9.85,-0.4,Marvin BRACY,15 DEC 1993,USA,1,"Christian Brothers HS, Memphis, TN (USA)",15 AUG 2021,1261
124,9.85,+2.0,Ferdinand OMANYALA,02 JAN 1996,KEN,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,1259
124,9.85,+1.8,Marvin BRACY-WILLIAMS,15 DEC 1993,USA,2,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1259
124,9.85,+1.0,Yohan BLAKE,26 DEC 1989,JAM,1,"National Stadium, Kingston (JAM)",24 JUN 2022,1259
124,9.85,+0.8,Ferdinand OMANYALA,02 JAN 1996,KEN,1,"Nyayo National Stadium, Nairobi (KEN)",08 JUL 2023,1259
124,9.85,+0.4,Kishane THOMPSON,17 JUL 2001,JAM,2,"Egret Stadium, Xiamen (CHN)",02 SEP 2023,1259
124,9.85,+0.1,Noah LYLES,18 JUL 1997,USA,2,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1259
124,9.85,+0.1,Ferdinand OMANYALA,02 JAN 1996,KEN,3,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1259
124,9.85,+0.9,Noah LYLES,18 JUL 1997,USA,2,"National Stadium, Kingston (JAM)",01 JUN 2024,1259
124,9.85,+1.0,Lamont Marcell JACOBS,26 SEP 1994,ITA,5,"Stade de France, Paris (FRA)",04 AUG 2024,1259
158,9.86,+1.2,Carl LEWIS,01 JUL 1961,USA,1,"National Stadium, Tokyo (JPN)",25 AUG 1991,1255
158,9.86,-0.4,Frank FREDERICKS,02 OCT 1967,NAM,1f1,Lausanne (SUI),03 JUL 1996,1257
158,9.86,+0.2,Maurice GREENE,23 JUL 1974,USA,1,"Olympic Stadium, Athina (GRE)",03 AUG 1997,1255
158,9.86,+1.8,Ato BOLDON,30 DEC 1973,TTO,1,"Walnut, CA (USA)",19 APR 1998,1255
158,9.86,-0.4,Ato BOLDON,30 DEC 1973,TTO,1,Athina (GRE),17 JUN 1998,1257
158,9.86,+0.1,Ato BOLDON,30 DEC 1973,TTO,2f3,Athina (GRE),16 JUN 1999,1255
158,9.86,+0.4,Ato BOLDON,30 DEC 1973,TTO,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1255
158,9.86,-0.2,Maurice GREENE,23 JUL 1974,USA,1,"Olympiastadion, Berlin (GER)",01 SEP 2000,1256
158,9.86,+0.6,Francis OBIKWELU,22 NOV 1978,POR,2,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1255
158,9.86,+0.2,Asafa POWELL,23 NOV 1982,JAM,1f1,Stockholm (SWE),25 JUL 2006,1255
158,9.86,-0.5,Asafa POWELL,23 NOV 1982,JAM,1,"Olympiastadion, Berlin (GER)",03 SEP 2006,1258
158,9.86,-0.2,Usain BOLT,21 AUG 1986,JAM,1,Kingston (JAM),27 JUN 2009,1256
158,9.86,+0.1,Usain BOLT,21 AUG 1986,JAM,1,Daegu (KOR),19 MAY 2010,1255
158,9.86,+1.0,Nesta CARTER,11 OCT 1985,JAM,1f2,Luzern (SUI),08 AUG 2010,1255
158,9.86,+2.0,Asafa POWELL,23 NOV 1982,JAM,1,"Puskás Ferenc Stadion, Budapest (HUN)",30 JUL 2011,1255
158,9.86,+1.4,Keston BLEDMAN,08 MAR 1988,TTO,1f2,Port-of-Spain (TTO),23 JUN 2012,1255
158,9.86,+1.8,Tyson GAY,09 AUG 1982,USA,2,"Hayward Field, Eugene, OR (USA)",24 JUN 2012,1255
158,9.86,+1.1,Usain BOLT,21 AUG 1986,JAM,2,Kingston (JAM),29 JUN 2012,1255
158,9.86,+0.3,Usain BOLT,21 AUG 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,1255
158,9.86,-0.4,Justin GATLIN,10 FEB 1982,USA,1,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1257
158,9.86,+1.1,Keston BLEDMAN,08 MAR 1988,TTO,1f2,Port-of-Spain (TTO),27 JUN 2015,1255
158,9.86,+1.3,Jimmy VICAUT,27 FEB 1992,FRA,2,"Stade de France, Paris-St-Denis (FRA)",04 JUL 2015,1255
158,9.86,+0.9,Michael RODGERS,24 APR 1985,USA,2sf2,"National Stadium, Beijing (CHN)",23 AUG 2015,1255
158,9.86,+1.8,Jimmy VICAUT,27 FEB 1992,FRA,1,Montreuil-sous-Bois (FRA),07 JUN 2016,1255
158,9.86,+2.0,Trayvon BROMELL,10 JUL 1995,USA,1sf2,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1255
158,9.86,+0.2,Usain BOLT,21 AUG 1986,JAM,1sf2,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1255
158,9.86,+0.9,Noah LYLES,18 JUL 1997,USA,1,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2019,1255
158,9.86,+0.9,Christian COLEMAN,06 MAR 1996,USA,2,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2019,1255
158,9.86,+0.8,Divine ODUDURU,07 OCT 1996,NGR,1,"Austin, TX (USA)",07 JUN 2019,1255
158,9.86,+1.6,Michael NORMAN,03 DEC 1997,USA,1f3,"AP Ranch, Fort Worth, TX (USA)",20 JUL 2020,1255
158,9.86,+0.8,Fred KERLEY,07 MAY 1995,USA,3,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1255
158,9.86,+0.6,Ferdinand OMANYALA,02 JAN 1996,KEN,1f1,"Pramtalstadion, Andorf (AUT)",14 AUG 2021,1255
158,9.86,+0.8,Marvin BRACY,15 DEC 1993,USA,1,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1255
158,9.86,+0.2,Oblique SEVILLE,16 MAR 2001,JAM,1,"National Stadium, Kingston (JAM)",21 MAY 2022,1255
158,9.86,+0.7,Micah WILLIAMS,12 NOV 2001,USA,1h2,"John McDonnell Field, Fayetteville, AR (USA)",27 MAY 2022,1255
158,9.86,+1.5,Marvin BRACY-WILLIAMS,15 DEC 1993,USA,2sf2,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1255
158,9.86,-0.1,Fred KERLEY,07 MAY 1995,USA,1,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1255
158,9.86,0.0,Oblique SEVILLE,16 MAR 2001,JAM,1h5,"Nemzeti Atlétikai Központ, Budapest (HUN)",19 AUG 2023,1255
158,9.86,+1.5,Christian COLEMAN,06 MAR 1996,USA,1sf3,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1255
158,9.86,+1.9,Benjamin RICHARDSON,19 DEC 2003,RSA,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1255
158,9.86,-0.3,Akani SIMBINE,21 SEP 1993,RSA,2,"Olympic Stadium, London (GBR)",20 JUL 2024,1256
158,9.86,+1.0,Letsile TEBOGO,07 JUN 2003,BOT,6,"Stade de France, Paris (FRA)",04 AUG 2024,1255
200,9.87,+0.3,Linford CHRISTIE,02 APR 1960,GBR,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1252
200,9.87,+1.9,Frank FREDERICKS,02 OCT 1967,NAM,1,Helsinki (FIN),25 JUN 1996,1252
200,9.87,+1.3,Ato BOLDON,30 DEC 1973,TTO,1qf1,"Olympic Stadium, Athina (GRE)",02 AUG 1997,1252
200,9.87,-0.2,Obadele THOMPSON,30 MAR 1976,BAR,1,"SGJ, Johannesburg (RSA)",11 SEP 1998,1253
200,9.87,+0.6,Maurice GREENE,23 JUL 1974,USA,1,Stockholm (SWE),30 JUL 1999,1252
200,9.87,-0.3,Maurice GREENE,23 JUL 1974,USA,1,"Olympic Stadium, Sydney (AUS)",23 SEP 2000,1253
200,9.87,+0.6,Maurice GREENE,23 JUL 1974,USA,3,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1252
200,9.87,+0.2,Asafa POWELL,23 NOV 1982,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1252
200,9.87,+0.7,Asafa POWELL,23 NOV 1982,JAM,1,"International Stadium, Gateshead (GBR)",31 AUG 2008,1252
200,9.87,+0.4,Asafa POWELL,23 NOV 1982,JAM,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",13 SEP 2008,1252
